timestamp,X,Y,Z,obs_id
1596643762203,-0.070966,1.734781,1.271593,0
1596643762248,-0.089252,1.670223,1.138440,0
1596643762291,-0.095441,1.687425,1.124131,0
1596643762328,-0.056861,1.696733,1.327479,0
1596643762365,-0.061464,1.676985,1.300341,0
1596643762403,-0.075242,1.662999,1.219820,0
1596643762439,-0.071113,1.638750,1.216775,0
1596643762473,-0.078560,1.634626,1.180566,0
1596643762507,-0.080608,1.623105,1.168257,0
1596643762542,-0.098509,1.557404,1.030159,0
1596643762587,-0.074666,1.596323,1.206216,0
1596643762623,-0.068369,1.594171,1.256192,0
1596643762656,-0.100301,1.573616,1.093108,0
1596643762691,-0.183790,1.552331,0.637448,0
1596643762726,-0.257245,0.314213,0.043825,0
1596643762761,-0.304659,0.535558,0.132663,0
1596643762795,-0.438363,1.328790,0.952728,0
1596643762828,-0.216636,1.290618,0.693093,0
1596643762864,-0.309883,1.751729,0.057006,0
1596643762897,-0.257125,0.279332,0.052400,0
1596643762930,-0.272363,0.322331,0.068476,0
1596643762965,-0.081779,0.579003,0.235555,0
1596643762999,-0.283076,0.328989,0.084418,0
1596643763038,-0.068868,0.538704,0.238296,0
1596643763072,-0.087314,0.592581,0.238997,0
1596643763114,-0.098137,0.631873,0.244680,0
1596643763146,-0.045409,0.475773,0.264786,0
1596643763181,-0.072019,0.536257,0.247052,0
1596643763214,-0.077921,0.552166,0.244934,0
1596643763246,-0.073922,0.540027,0.247590,0
1596643763278,-0.113294,0.668128,0.260517,0
1596643763313,-0.087866,0.570434,0.251934,0
1596643763351,-0.091428,0.579659,0.252629,0
1596643763384,-0.082096,0.552110,0.253733,0
1596643763421,-0.076254,0.530157,0.262193,0
1596643763454,-0.070687,0.515040,0.266752,0
1596643763487,-0.069984,0.511645,0.270556,0
1596643763529,-0.184331,0.972252,0.428325,0
1596643763573,-0.078800,0.527765,0.270702,0
1596643763612,-0.181904,0.954655,0.416378,0
1596643763647,-0.154585,0.802184,0.327238,0
1596643763681,-0.178406,0.940656,0.405984,0
1596643763721,-0.081397,0.532889,0.270761,0
1596643763758,-0.175309,0.892377,0.380823,0
1596643763797,-0.180968,0.920702,0.399150,0
1596643763837,-0.149094,0.744857,0.310810,0
1596643763873,-0.148899,0.748988,0.310902,0
1596643763920,-0.177066,0.898660,0.385370,0
1596643763971,-0.176175,0.901702,0.385681,0
1596643764007,-0.173708,0.885320,0.376456,0
1596643764047,-0.173316,0.882719,0.375494,0
1596643764082,-0.148735,0.759274,0.311872,0
1596643764118,-0.180803,0.933128,0.404795,0
1596643764156,-0.170041,0.882966,0.371244,0
1596643764190,-0.172146,0.895467,0.378632,0
1596643764222,-0.170383,0.887031,0.372976,0
1596643764256,-0.175066,0.915706,0.390645,0
1596643764289,-0.180494,0.951849,0.414422,0
1596643764326,-0.183620,0.971784,0.427371,0
1596643764360,-0.181311,0.957051,0.417023,0
1596643764394,-0.178808,0.938255,0.404951,0
1596643764428,-0.178284,0.935260,0.403888,0
1596643764464,-0.176376,0.925008,0.396505,0
1596643764498,-0.183032,0.970761,0.426256,0
1596643764531,-0.174544,0.930437,0.397150,0
1596643764565,-0.181471,0.956929,0.417339,0
1596643764599,-0.184848,0.957697,0.421151,0
1596643764633,-0.143057,0.735800,0.301960,0
1596643764666,-0.169612,0.862092,0.362687,0
1596643764714,-0.181116,0.941562,0.409363,0
1596643764748,-0.176637,0.927146,0.397606,0
1596643764780,-0.183911,0.964324,0.423679,0
1596643764815,-0.170761,0.875513,0.369120,0
1596643764855,-0.183011,0.963625,0.422413,0
1596643764890,-0.180793,0.948199,0.411958,0
1596643764924,-0.106935,0.594259,0.273170,0
1596643764955,-0.094922,0.557689,0.275356,0
1596643764987,-0.104774,0.587684,0.273114,0
1596643765021,-0.179896,0.920667,0.397998,0
1596643765056,-0.183772,0.920231,0.401675,0
1596643765090,-0.158394,0.766159,0.325500,0
1596643765126,-0.157872,0.759276,0.324072,0
1596643765159,-0.150442,0.725854,0.311848,0
1596643765194,-0.156415,0.745467,0.320626,0
1596643765230,-0.153509,0.731695,0.316328,0
1596643765263,-0.164147,0.772054,0.333872,0
1596643765297,-0.164403,0.769286,0.333923,0
1596643765331,-0.179550,0.837133,0.366710,0
